gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q,logConc,logFC
CG14722,FBgn0037943,CG14722-PA-1230,963,1012,908,884,2.24156753526604e-09,2.13865097734639e-07,-11.7808956829341,-0.392495020571951
RpL3,FBgn0020910,RpL3-PA-993,3554,3804,5410,5394,2.26608251974951e-09,2.15855324921559e-07,-9.53614157633205,0.302592314689409
Xe7,FBgn0010772,Xe7-PA-702,4,1,26,26,2.28117095868137e-09,2.16942664215466e-07,-18.6471954327754,3.12610678039181
CG8939,FBgn0030720,CG8939-PA-1771,136,140,276,254,2.47915572273617e-09,2.35392248670985e-07,-14.0792776439102,0.688797625110463
CG1532,FBgn0031143,CG1532-PA-106,700,698,611,622,2.53167768167599e-09,2.39993291371461e-07,-12.2995565433547,-0.433503920939348
Chro,FBgn0044324,Chro-PA-1377,24,19,78,62,2.57595878287663e-09,2.43799637498603e-07,-16.3806840215533,1.45037691854903
CG31121,FBgn0051121,CG31121-PA-2229,113,116,223,232,2.60952660273132e-09,2.4658147536657e-07,-14.3238249851195,0.738342508273249
shot,FBgn0013733,shot-PA-16084,66,64,151,180,2.61657514700285e-09,2.46852547973952e-07,-14.9609322532767,1.09724160198946
CG9008,FBgn0028540,CG9008-PA-762,104,100,58,62,2.62385969898133e-09,2.47144985809313e-07,-15.3686516509026,-1.01792956701458
CG18815,FBgn0042138,CG18815-PA-549,438,443,367,371,2.66490701738963e-09,2.50611590179931e-07,-13.003001300949,-0.507824776836784
CG5857,FBgn0039125,CG5857-PA-696,131,133,268,242,2.75492953553588e-09,2.58665546120315e-07,-14.139105283322,0.697356712908009
CG1344,FBgn0027507,CG1344-PA-166,74,80,43,37,2.89194804585658e-09,2.71099472527299e-07,-15.8641032535308,-1.19725554189466
CG30383,FBgn0050383,CG30383-PA-568,24,24,3,5,3.03841734458177e-09,2.84378528583693e-07,-18.3659056701184,-2.83731913739694
eIF-2alpha,FBgn0261609,eIF-2alpha-PA-936,543,586,506,470,3.10671332667251e-09,2.90310562732002e-07,-12.6227998602243,-0.462438009782194
CG33095,FBgn0053095,CG33095-PA-1171,237,203,152,123,3.17666256432217e-09,2.96378100669413e-07,-14.2158254903617,-0.933248372174378
Acon,FBgn0010100,Acon-PB-2041,158,165,312,289,3.1897150842465e-09,2.97126488084274e-07,-13.8751672549405,0.643339545085501
CG9338,FBgn0032899,CG9338-PA-216,2,4,34,23,3.26079068657681e-09,3.03268939161974e-07,-18.4499414536327,2.99496956906741
